surface,bathrooms,bedrooms,price
400,3,5,90000
280,3,7,90000
480,3,6,75000
300,2,4,49000
200,3,5,60000
300,1,4,23000
200,4,4,96000
200,3,2,75000
200,3,5,80000
250,3,3,45000
265,5,10,88500
500,2,8,45000
220,1,1,88500
200,3,7,80000
200,2,3,55000
240,2,3,55000
300,1,2,37000
267,1,4,85000
250,2,3,65000
672,4,3,95000
240,4,6,95000
200,3,5,100000
240,4,4,75000
690,2,3,95000
452,1,2,30000
209,2,5,40000
400,2,5,65000
280,1,8,50000
200,1,3,30000
200,1,2,29000
360,5,7,85000
300,3,4,70000
230,5,5,85000
514,1,3,55000
420,1,2,53000
200,2,4,50000
378,1,3,93500
756,2,2,85000
522,1,5,45000
250,3,6,80000
300,3,5,70000
365,2,3,85000
220,7,10,85000
340,3,6,99900
243,1,3,68000
250,2,3,40000
300,1,3,33000
300,1,3,35000
208,3,3,85000
400,1,2,16000
270,5,6,95000
200,2,4,79000
250,3,4,68000
225,3,2,45000
200,1,2,22000
240,7,6,92000
466,3,3,96000
408,1,3,28000
200,1,3,19000
268,6,7,89990
298,2,10,49500
400,2,2,30000
200,2,4,65000
200,4,8,65000
200,1,3,58000
200,2,4,80000
200,1,3,30000
200,1,4,37000
390,1,3,42000
370,3,4,58000
340,6,6,100000
240,3,5,65000
500,2,1,65000
230,4,4,87000
247,1,3,67500
600,3,1,75000
250,4,4,48000
250,4,4,48000
248,1,4,55000
360,1,3,65000
322,3,3,80000
240,3,6,78000
200,4,3,75000
535,3,4,72000
230,1,3,88000
270,2,3,87000
448,1,2,45000
230,2,2,20000
250,3,3,48000
416,1,4,29000
200,2,4,80000
350,2,3,68000
250,2,5,80000
250,10,10,75000
200,1,4,38000
250,2,4,34000
250,2,2,86000
250,3,3,60000
200,1,2,15000
200,1,3,60000
360,4,5,70000
200,6,6,100000
375,1,2,75000
220,4,10,100000
250,4,3,88000
300,1,3,35000
750,3,2,17000
200,2,2,40000
300,3,4,45000
225,2,3,80000
240,1,3,35000
246,3,3,79900
204,2,3,36000
250,2,3,45000
300,6,6,90000
327,2,3,78000
320,2,3,65000
250,3,5,55000
200,1,3,40000
680,4,5,69000
200,2,2,45000
400,1,9,76000
200,1,3,69000
220,3,6,55000
292,1,2,78000
240,1,2,27000
200,2,2,18000
600,2,4,68000
200,1,3,45000
226,2,4,63000
200,3,3,80000
220,2,3,50000
345,4,4,100000
400,3,6,60000
246,3,4,80000
300,3,2,65000
480,2,2,30000
300,2,3,95000
264,4,5,70000
300,2,3,42000
296,3,9,100000
300,10,10,45000
200,3,4,63000
800,3,5,40000
500,3,5,45000
228,4,4,70000
200,1,1,25000
312,2,4,34000
200,1,1,20000
230,2,4,63000
200,2,3,60000
